Title,Date,data_file,Download Link
Circular Regarding  Boundary Demarcation for Forest Office,01 Feb 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220201071839-ALtSw-वन_सम्बन्धी_परिपत्र.pdf,http://dos.gov.np/download/download/regarding-circular/news
Regarding Junior Survey Training (Inservice),26 Jan 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220126104451-zklqT-20781012_Junior_InserviceTraining_Notice.pdf,http://dos.gov.np/download/download/regarding-junior-survey-training-inservice/news
Request from Survey Department,26 Jan 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220126054223-ccTaC-IMG_20220124_0001.pdf,http://dos.gov.np/download/download/request-from-survey-department/news
Regarding Implementation of Decision,11 Jan 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220111073357-nZ5Xa-निर्णय-कार्यान्वयन-सम्बन्धमा.pdf,http://dos.gov.np/download/download/regarding-implementation-of-decision-2/news
Urgent!!! Regarding Financial Statement of Fiscal Year 2077/78,10 Jan 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220110061253-jXSrw-Notice_SampatiBibaran.pdf,http://dos.gov.np/download/download/urgent-regarding-financial-statement-of-fiscal-year-207778/news
"Call for Article (Journal on Geoinformatics, Nepal Vol 21)",07 Jan 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220107055454-trv1k-CallForArticle.pdf,http://dos.gov.np/download/download/call-for-article-journal-of-geoinformatics-vol-21/news
Regarding Direction,27 Dec 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20211227063924-ScDST-20211227-115404588-005.pdf,http://dos.gov.np/download/download/regarding-direction/news
Proactive Disclosure,26 Dec 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20211226084543-hdv7e-ProactiveDisclosure_DOS_.pdf,http://dos.gov.np/download/download/proactive-disclosure/news
Regarding Recruitment,26 Dec 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20211226083240-okdkT-Notice20780911_Prasashan.pdf,http://dos.gov.np/download/download/regarding-recruitment/news
Regarding Submission of Soft copy and scan copy of Financial Report,21 Dec 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20211221085850-inKvx-20780905_Account_SendAabiSoftCopy.pdf,http://dos.gov.np/download/download/regarding-submission-of-soft-copy-and-scan-copy-of-financial-report/news
Regarding Implementation of Decision,15 Dec 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20211215094018-WmwI4-20780828_NirnayaKaryanwain.pdf,http://dos.gov.np/download/download/regarding-implementation-of-decision/news
तालिममा सहभागी हुन पठाई दिने सम्वन्धमा ।,22 Nov 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20211122082928-xkXY4-napi-compressed.pdf,http://dos.gov.np/download/download/l-ii/news
Regarding Information,02 Nov 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20211103064229-gcx8a-विवरण-उपलव्ध-गराउने-सन्दर्भमा.pdf,http://dos.gov.np/download/download/regarding-information/news
